,driver_id,schedule,group,plug_in_time,plug_out_time
39,39c82d3d69-a214-4cdd-82d4-a8bba7dcd7b8,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1115.17488975],[519.72722998]
40,40bd6b30c7-3d78-4821-ae8d-d3986c95a3df,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1124.77812903],[519.10232139]
41,41357a5230-1546-40a7-83a7-9f43f4213e45,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1154.12570873],[531.22135053]
42,42c57b3a21-e025-4ce9-bf14-ee7c059ac03c,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[1015.65060802],[280.14300072]
43,43520d5cb0-aee5-431f-a92f-37e451e82ea2,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.],Average (UK),[1203.94273214],[562.67344826]
44,44d45fc2d4-f666-4c30-916c-13546a3971ee,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1050.1490348],[457.54187979]
45,4519aae3f7-e682-4d67-b45e-27ec75e8b27f,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1198.84436614],[595.41416793]
46,464762b380-9c9e-43b8-ad5f-e0b1144a6a88,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1073.0935105],[456.08367668]
47,478a2ec142-b31c-41b0-9ba8-ddc77a4e5a66,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1054.79893624],[550.18949415]
48,48c3669205-3d2b-44b4-8e07-b665f6516cd1,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1128.69043195],[500.71712585]
49,49d7cf6268-dbc1-4998-b0c5-a68a510f0512,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[915.92181355],[345.37330243]
50,50117a9bdb-4821-488d-b078-3c8d02479f1c,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[1009.65376964],[391.31162841]
51,51d0c10f5c-9f53-4eeb-a81c-6da0fcdfdacf,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1087.52390418],[447.75109805]
52,52ca9042c5-36cf-4f3d-8b65-e000416eef6c,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1059.19273264],[433.95691536]
53,539bd39d28-f02f-44b4-8602-6b6aa52a90a3,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[940.30980236],[242.66643142]
54,54a70de488-001c-4862-b21f-76866ca7471f,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1047.68622607],[431.84931964]
55,55f10c81bb-e6d0-43b8-bcd9-6892b4cfe86d,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1141.45778718],[372.89416784]
56,56535a7e2e-04bc-4164-a78f-22b188fd81b2,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1093.74220207],[462.94860519]
57,57c6d09faf-9735-44f4-a6f2-bc983dd6875e,[1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1022.20526682],[194.3840919]
58,589de31065-a403-4697-be7f-b8f5b3844bac,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1137.48846506],[564.51195467]
59,597c0091fd-709a-47c0-9a8f-cd3349463639,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1137.75354434],[448.89040385]
60,60aa9235be-dde7-4711-bfba-9c7b43b2f90b,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[977.23871087],[349.61601821]
61,61d71ccf2d-b4b1-4606-a65c-4fbdcc02677e,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[992.11884777],[384.25021905]
62,6229316b36-430e-4d88-a7c3-1cf1c27018f4,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[970.7391025],[445.68898742]
63,63f21bcf10-58c1-4d58-8d3d-cba00b517725,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1189.85567504],[684.1302745]
64,641a30f31e-4cdd-4745-aaa1-8bd024c2cc19,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1093.26883565],[503.49872709]
65,658887b491-6957-4843-939a-85d7a8327279,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[945.94901035],[288.52876034]
66,6649fb8614-ad9e-41a2-88a1-cd1f3200ba7f,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1041.11930067],[490.87767825]
67,675a7b7571-7c3b-40b0-a082-d03260374b78,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.],Average (UK),[1217.49229809],[624.83967665]
68,68a36f98ff-21d6-40a3-9131-4d5246e05184,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1170.11762361],[629.11567697]
69,6950d5318b-6d3c-4ac7-86eb-4148653b46f3,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[985.10743535],[334.63632324]
70,70718ff5da-04f7-4abe-8358-7dd4f1219382,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[1001.10727619],[337.68069027]
71,718cf9b974-f37e-4e59-b2c0-57f751bc32ac,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1144.24870091],[526.26053258]
72,72908164cb-5ec7-4ed6-a30b-f817d6cf0a73,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[997.05693725],[307.81103504]
73,73abbb0799-3c9f-46bb-addc-88acb8c057ea,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1116.24052179],[475.00275227]
74,74b2a3c9fc-376f-49df-963a-13b49715f5b0,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1115.57931268],[461.82360115]
75,753f2a76fb-2058-48e4-9500-d5c771bda51c,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1163.74681769],[586.52101829]
76,769afec4dd-8d4f-4c40-936e-25890ffb0b1c,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1099.47597515],[532.08263863]
77,77e86aeebf-ac9c-45fd-90eb-3c73ec77739b,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1082.82717973],[363.67496965]
78,787eed314b-7680-4c57-9dfe-cf0cf2e06c28,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[1019.22076441],[321.22041338]
79,7971bdc2db-1d87-44d8-a9d9-9e95a6225f98,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1060.15444929],[494.58038794]
80,8072a987d7-9831-4b26-b2db-4b499d50e08f,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1145.55388176],[456.03976489]
81,8163a1a5ba-6694-4cca-a074-d52cd84c26e5,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1072.03423504],[477.10299196]
82,82e269bf7b-5194-4cd5-a16d-8dadba886cbe,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1199.89677663],[529.63465726]
83,83b504a73d-0098-4246-abc1-8776caf5ebcc,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1199.70443386],[634.4397002]
84,846927bb4f-a78f-4a67-8f4a-d17836a5a9ce,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1097.30183166],[517.5086565]
85,856549b5fc-1cb4-4c17-9874-8897ed86be5b,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[987.7182257],[321.48433511]
86,864c09ee8c-1122-4172-a8c5-6274ebff95c1,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1171.37850041],[459.51342633]
87,87958d81ef-c87e-4056-ab1b-aa1256d9205b,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[1016.03551112],[430.38729663]
88,883a1c0c0c-37a0-4b12-a6fd-42a82a275b61,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1118.60466179],[561.7835199]
89,896fbe1b7d-ed2b-4511-8518-3d268b45c027,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1104.47526143],[494.30533829]
90,90857fde4b-8b66-49f8-9a09-718b53670126,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1126.59358923],[440.03003967]
91,911df9615f-2577-4421-88e7-2ce25b1f4647,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[1011.28856346],[362.61483544]
92,9206bc0025-0ece-42c4-a144-1a02563ef274,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1183.15867229],[527.58883489]
93,9318e0095d-81eb-45ca-bf21-2a469b3186e2,[1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1040.90060989],[217.88470871]
94,9403759610-51be-4348-8bd1-4c25174a1dba,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1031.7862808],[471.1922636]
95,9527d76e85-8f01-4e62-b43e-6424fa2ab944,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1110.22823137],[444.04973221]
96,9678cff957-0513-4b54-8f28-ab4744917ae3,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1087.02845088],[535.5314004]
97,974f9849ad-ec28-44de-8381-7d3b51bbde95,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1098.34635367],[514.69936866]
98,98a9d6f87a-fa89-4942-a8b1-3fd380ea84e3,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1061.85837577],[398.07441755]
99,9973c9f3fe-eccd-4808-8f7f-76ea059bcecc,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1064.09975331],[370.37404971]
100,1005288fe66-6d4c-4dbc-824d-c0828cbd61e0,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1048.19211056],[374.69911504]
101,101dc6d42fa-f6df-4465-a7a7-e35f5b08feb8,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1097.56332155],[404.41851614]
102,1028686dd55-4069-417d-ae67-d34750b58987,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[999.3804978],[345.16072436]
103,1039484bfe1-8b19-4b2f-97de-c441457106ad,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.],Average (UK),[1229.56610599],[638.22468593]
104,104b9cf3889-b363-47c4-9750-c3ffec27b81e,[1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1028.12545413],[291.2778648]
105,10506cdf1b8-9314-4712-86f5-689ca7d6457e,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1196.20999381],[525.22707627]
106,1062e77ba44-1652-4aaa-8107-a1fef8251370,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.],Average (UK),[1046.21135197],[454.12181184]
107,1077e4c1f64-5311-445c-a1ad-10ab62d82d6d,[1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.],Average (UK),[983.93168173],[237.3263765]
108,1088df104e0-04c9-4c86-ac50-68d80c778018,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1137.54026969],[359.98834888]
109,109d28345d8-bf71-472d-b290-ba3893240ca4,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.],Average (UK),[1181.33214358],[516.44901803]
110,110d3abdf15-b866-4315-82c6-34948bb4de16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1.],Average (UK),[1114.40455779],[539.92490279]
